Rank,URL,Name,Industry,IncorporationYear,RevenueRsCrore,RevenueChange,NetOperatingIncomeRsCrore,NetOperatingIncomeChange,ProfitRsCrore,ProfitChange,AssetsRsCrore,AssetsChange,NetWorthRsCrore,NetWorthChange,EquityDividendRsCrore,EquityDividendChange,EmployeeCostRsCrore,EmployeeCostChange
859,https://www.fortuneindia.com/next-500/company/vlcc-health-care?year=2017,VLCC Health Care,healthcare,1996,868.84,6.19,859.92,6.38,5.39,73.05,688.33,8.36,265.66,4.07,0,0,218.99,12.29
860,https://www.fortuneindia.com/next-500/company/63-moons-technologies?year=2017,63 Moons Technologies,infotech,1982,868.28,16.41,204.58,2.35,243.84,42.86,3644.34,6.03,3118.29,6.49,23.04,0,164.48,4.26
861,https://www.fortuneindia.com/next-500/company/westlife-development?year=2017,Westlife Development,fmcg,1982,866.54,10.98,833.43,9.04,2.83,0,687.61,2.96,538.1,0.84,0,0,124.02,9.11
862,https://www.fortuneindia.com/next-500/company/ion-exchange-india?year=2017,Ion Exchange (India),capital goods,1964,865.4,6.72,869.46,8.62,15.31,56.86,291.57,6.6,170.03,9.03,4.24,0,110.17,12.99
863,https://www.fortuneindia.com/next-500/company/autoliv-india?year=2017,Autoliv India,auto ancillaries,2000,864.13,31.77,818.05,27.41,41.1,0,298.37,32.59,50.85,44.7,0,0,79.94,28.31
864,https://www.fortuneindia.com/next-500/company/bl-kashyap-sons?year=2017,BL Kashyap & Sons,engineering & construction,1989,863.59,0.34,860.3,3.11,6,0,1404.16,6.8,398.62,1.47,0,0,155.73,10.14
865,https://www.fortuneindia.com/next-500/company/genus-power-infrastructures?year=2017,Genus Power Infrastructures,consumer durables,1992,858.43,12.11,857.65,6.27,78.51,47.8,911.08,5.46,659.55,35.36,6.42,0,65.39,0.23
866,https://www.fortuneindia.com/next-500/company/yokogawa-india?year=2017,Yokogawa India,capital goods,1987,858.38,14.32,855.92,18.17,52.73,10.5,213.46,10.85,213.45,10.84,26.25,0,152.06,8.96
867,https://www.fortuneindia.com/next-500/company/sakthi-sugars?year=2017,Sakthi Sugars,sugar,1961,854.86,2.78,821,1.85,47.49,0,1475.87,8.24,9.87,8.1,0,0,59.02,4.62
868,https://www.fortuneindia.com/next-500/company/wapcos?year=2017,Wapcos,infrastructure development,1969,854.14,8.16,826.44,9.63,83.83,14.95,589.25,18.37,362.61,17.23,25.25,0,172.26,26.53
869,https://www.fortuneindia.com/next-500/company/same-deutz-fahr-india?year=2017,Same Deutz-Fahr India,auto,1999,853.37,27.78,794.21,35.39,70.94,7.88,436.53,19.54,389.67,22.26,0,0,25.08,6.63
870,https://www.fortuneindia.com/next-500/company/sical-logistics?year=2017,Sical Logistics,transport logistics,1955,850.72,2,835.23,0.96,14.03,14.03,1732.02,12.73,456.7,3.23,0,0,44.59,37.28
871,https://www.fortuneindia.com/next-500/company/triveni-turbine?year=2017,Triveni Turbine,capital goods,1995,850.19,22.91,796.31,22.37,107.6,18.86,320.31,26.54,292.61,27.98,36.3,0,71.26,14.53
